# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
6.07110	2734.90074	2760.21178	39.84379	12.91504	69.35949	354.22451	2283.86896
6.05900	2742.01078	2761.09167	39.99983	12.97353	69.80443	356.62817	2281.68571
6.04689	2748.19945	2761.78734	40.15679	13.03243	70.25393	359.05533	2279.28886
6.03479	2752.95251	2762.29917	40.31467	13.09175	70.70806	361.50627	2276.67843
6.02268	2755.76455	2762.62763	40.47347	13.15148	71.16689	363.98124	2273.85454
6.01058	2757.12384	2762.77333	40.63321	13.21164	71.63048	366.48053	2270.81747
5.99847	2757.97659	2762.73698	40.79388	13.27223	72.09891	369.00440	2267.56757
5.98637	2758.91374	2762.51944	40.95551	13.33324	72.57224	371.55313	2264.10533
5.97426	2760.50521	2762.12166	41.11809	13.39469	73.05054	374.12699	2260.43135
5.96216	2762.71346	2761.54472	41.28163	13.45658	73.53388	376.72627	2256.54635
5.95005	2765.07976	2760.78981	41.44614	13.51891	74.02235	379.35125	2252.45116
5.93795	2767.18397	2759.85827	41.61164	13.58169	74.51600	382.00222	2248.14673
5.92584	2768.60765	2758.75152	41.77811	13.64492	75.01492	384.67945	2243.63412
5.91374	2769.16798	2757.47112	41.94558	13.70861	75.51918	387.38325	2238.91450
5.90163	2769.01703	2756.01873	42.11406	13.77276	76.02886	390.11390	2233.98915
5.88953	2768.32850	2754.39614	42.28354	13.83737	76.54405	392.87170	2228.85948
5.87742	2767.25286	2752.60525	42.45404	13.90245	77.06482	395.65694	2223.52699
5.86532	2765.70154	2750.64806	42.62556	13.96801	77.59126	398.46993	2217.99330
5.85321	2763.45362	2748.52669	42.79812	14.03405	78.12345	401.31095	2212.26012
5.84111	2760.29667	2746.24338	42.97172	14.10058	78.66147	404.18032	2206.32929
5.82900	2756.55653	2743.80045	43.14637	14.16759	79.20542	407.07834	2200.20273
5.81690	2752.48336	2741.20034	43.32208	14.23509	79.75538	410.00531	2193.88246
5.80480	2748.07142	2738.44559	43.49886	14.30310	80.31145	412.96155	2187.37063
5.79269	2743.31098	2735.53885	43.67671	14.37161	80.87372	415.94736	2180.66946
5.78059	2738.28657	2732.48285	43.85565	14.44063	81.44227	418.96305	2173.78125
5.76848	2733.25317	2729.28043	44.03568	14.51016	82.01722	422.00893	2166.70844
5.75638	2728.47735	2725.93452	44.21681	14.58021	82.59865	425.08533	2159.45351
5.74427	2724.11277	2722.44812	44.39906	14.65079	83.18667	428.19255	2152.01905
5.73217	2719.95959	2718.82434	44.58242	14.72190	83.78138	431.33090	2144.40773
5.72006	2715.75385	2715.06636	44.76691	14.79354	84.38288	434.50072	2136.62230
5.70796	2711.25306	2711.17746	44.95254	14.86573	84.99129	437.70231	2128.66559
5.69585	2706.45453	2707.16098	45.13932	14.93846	85.60669	440.93599	2120.54050
5.68375	2701.45965	2703.02033	45.32726	15.01175	86.22922	444.20209	2112.25001
5.67164	2696.36280	2698.75900	45.51636	15.08559	86.85897	447.50092	2103.79716
5.65954	2690.88701	2694.38056	45.70664	15.16000	87.49607	450.83280	2095.18505
5.64743	2684.88303	2689.88861	45.89811	15.23498	88.14063	454.19805	2086.41685
5.63533	2678.51483	2685.28685	46.09077	15.31053	88.79277	457.59700	2077.49579
5.62322	2671.24649	2680.57901	46.28463	15.38667	89.45261	461.02995	2068.42515
5.61112	2661.92060	2675.76889	46.47971	15.46339	90.12028	464.49723	2059.20827
5.59901	2652.53815	2670.86032	46.67602	15.54071	90.79590	467.99917	2049.84852
5.58691	2645.19079	2665.85719	46.87357	15.61863	91.47961	471.53606	2040.34933
5.57480	2639.68648	2660.76344	47.07235	15.69715	92.17152	475.10824	2030.71417
5.56270	2635.41880	2655.58303	47.27240	15.77629	92.87179	478.71600	2020.94654
5.55060	2632.13298	2650.31996	47.47371	15.85605	93.58054	482.35968	2011.04998
5.53849	2630.26466	2644.97829	47.67631	15.93644	94.29791	486.03957	2001.02806
5.52639	2629.25886	2639.56206	47.88018	16.01746	95.02406	489.75598	1990.88437
5.51428	2627.46473	2634.07536	48.08536	16.09912	95.75912	493.50923	1980.62254
5.50218	2623.52916	2628.52232	48.29185	16.18143	96.50324	497.29960	1970.24620
5.49007	2618.24007	2622.90704	48.49966	16.26439	97.25657	501.12740	1959.75901
5.47797	2613.31200	2617.23367	48.70881	16.34801	98.01928	504.99293	1949.16465
5.46586	2610.16083	2611.50636	48.91929	16.43231	98.79151	508.89646	1938.46678
5.45376	2608.00653	2605.72925	49.13114	16.51727	99.57344	512.83830	1927.66911
5.44165	2605.87699	2599.90652	49.34435	16.60293	100.36522	516.81872	1916.77531
5.42955	2603.00998	2594.04230	49.55893	16.68927	101.16702	520.83799	1905.78909
5.41744	2599.70954	2588.14076	49.77491	16.77631	101.97902	524.89639	1894.71413
5.40534	2595.88470	2582.20603	49.99229	16.86406	102.80139	528.99417	1883.55411
5.39323	2591.24431	2576.24224	50.21109	16.95252	103.63432	533.13160	1872.31272
5.38113	2585.82362	2570.25351	50.43131	17.04170	104.47798	537.30892	1860.99360
5.36902	2579.80577	2564.24394	50.65297	17.13161	105.33257	541.52637	1849.60043
5.35692	2573.33687	2558.21761	50.87608	17.22226	106.19827	545.78418	1838.13682
5.34481	2566.64102	2552.17857	51.10066	17.31366	107.07528	550.08258	1826.60639
5.33271	2559.63337	2546.13083	51.32671	17.40581	107.96380	554.42178	1815.01273
5.32060	2552.11978	2540.07841	51.55425	17.49873	108.86404	558.80199	1803.35940
5.30850	2544.20281	2534.02525	51.78330	17.59242	109.77620	563.22338	1791.64996
5.29640	2535.98395	2527.97528	52.01386	17.68689	110.70050	567.68614	1779.88790
5.28429	2527.44164	2521.93239	52.24595	17.78215	111.63715	572.19044	1768.07670
5.27219	2518.58840	2515.90042	52.47958	17.87821	112.58639	576.73644	1756.21981
5.26008	2509.61569	2509.88318	52.71476	17.97507	113.54844	581.32426	1744.32064
5.24798	2500.73373	2503.88440	52.95152	18.07275	114.52353	585.95403	1732.38257
5.23587	2491.75934	2497.90779	53.18986	18.17126	115.51189	590.62587	1720.40891
5.22377	2483.39409	2491.95701	53.42980	18.27061	116.51378	595.33986	1708.40296
5.21166	2476.69914	2486.03564	53.67135	18.37080	117.52945	600.09607	1696.36797
5.19956	2471.97648	2480.14722	53.91452	18.47185	118.55915	604.89456	1684.30714
5.18745	2467.89327	2474.29523	54.15934	18.57376	119.60313	609.73537	1672.22363
5.17535	2463.08602	2468.48308	54.40581	18.67655	120.66167	614.61850	1660.12054
5.16324	2457.94327	2462.71413	54.65395	18.78023	121.73505	619.54396	1648.00095
5.15114	2452.81977	2456.99166	54.90377	18.88480	122.82353	624.51170	1635.86785
5.13903	2448.00210	2451.31889	55.15530	18.99028	123.92741	629.52168	1623.72421
5.12693	2443.78746	2445.69896	55.40854	19.09668	125.04698	634.57382	1611.57294
5.11482	2439.45094	2440.13495	55.66351	19.20401	126.18254	639.66800	1599.41689
5.10272	2433.67423	2434.62985	55.92022	19.31228	127.33440	644.80409	1587.25886
5.09061	2426.37172	2429.18660	56.17870	19.42150	128.50286	649.98194	1575.10160
5.07851	2419.95409	2423.80803	56.43896	19.53168	129.68825	655.20134	1562.94781
5.06640	2415.73790	2418.49692	56.70101	19.64283	130.89090	660.46207	1550.80011
5.05430	2412.21694	2413.25595	56.96487	19.75498	132.11115	665.76387	1538.66108
5.04220	2407.56520	2408.08772	57.23056	19.86812	133.34934	671.10644	1526.53326
5.03009	2401.23329	2402.99475	57.49810	19.98227	134.60582	676.48947	1514.41909
5.01799	2394.93645	2397.97946	57.76749	20.09744	135.88096	681.91257	1502.32100
5.00588	2390.47764	2393.04421	58.03876	20.21365	137.17512	687.37534	1490.24134
4.99378	2387.51673	2388.19125	58.31193	20.33091	138.48869	692.87734	1478.18239
4.98167	2384.07018	2383.42273	58.58701	20.44923	139.82205	698.41807	1466.14638
4.96957	2378.78876	2378.74074	58.86402	20.56862	141.17559	703.99699	1454.13551
4.95746	2372.94242	2374.14724	59.14298	20.68910	142.54974	709.61354	1442.15188
4.94536	2368.30961	2369.64412	59.42391	20.81068	143.94490	715.26707	1430.19756
4.93325	2364.83429	2365.23316	59.70682	20.93337	145.36151	720.95691	1418.27455
4.92115	2362.13562	2360.91604	59.99173	21.05720	146.80000	726.68232	1406.38480
4.90904	2360.43710	2356.69437	60.27867	21.18216	148.26081	732.44253	1394.53019
4.89694	2359.55286	2352.56962	60.56765	21.30829	149.74442	738.23670	1382.71257
4.88483	2357.62559	2348.54318	60.85869	21.43558	151.25130	744.06392	1370.93370
4.87273	2354.55209	2344.61633	61.15180	21.56406	152.78192	749.92325	1359.19530
4.86062	2350.94787	2340.79026	61.44702	21.69375	154.33678	755.81366	1347.49905
4.84852	2346.78724	2337.06603	61.74436	21.82465	155.91639	761.73409	1335.84654
4.83641	2342.13563	2333.44461	62.04383	21.95678	157.52128	767.68337	1324.23934
4.82431	2338.13960	2329.92686	62.34547	22.09017	159.15197	773.66031	1312.67894
4.81220	2335.20958	2326.51353	62.64928	22.22481	160.80902	779.66362	1301.16680
4.80010	2332.47884	2323.20527	62.95530	22.36074	162.49299	785.69194	1289.70430
4.78800	2329.19636	2320.00260	63.26354	22.49797	164.20445	791.74386	1278.29279
4.77589	2325.51285	2316.90595	63.57402	22.63651	165.94399	797.81787	1266.93356
4.76379	2321.44200	2313.91562	63.88676	22.77639	167.71222	803.91240	1255.62784
4.75168	2314.67422	2311.03180	64.20180	22.91761	169.50977	810.02578	1244.37684
4.73958	2309.21894	2308.25458	64.51914	23.06020	171.33726	816.15629	1233.18169
4.72747	2308.34988	2305.58393	64.83881	23.20418	173.19536	822.30209	1222.04348
4.71537	2308.51519	2303.01969	65.16084	23.34956	175.08474	828.46129	1210.96326
4.70326	2307.86432	2300.56160	65.48525	23.49636	177.00608	834.63189	1199.94203
4.69116	2306.94367	2298.20929	65.81205	23.64460	178.96010	840.81181	1188.98073
4.67905	2306.05252	2295.96224	66.14128	23.79431	180.94751	846.99888	1178.08027
4.66695	2305.34138	2293.81986	66.47295	23.94549	182.96906	853.19084	1167.24152
4.65484	2304.62360	2291.78141	66.80710	24.09818	185.02552	859.38532	1156.46529
4.64274	2302.91697	2289.84605	67.14374	24.25239	187.11767	865.57989	1145.75236
4.63063	2299.45642	2288.01281	67.48290	24.40814	189.24631	871.77200	1135.10347
4.61853	2295.17923	2286.28062	67.82460	24.56545	191.41228	877.95899	1124.51930
4.60642	2289.99891	2284.64827	68.16888	24.72434	193.61641	884.13814	1114.00050
4.59432	2284.16956	2283.11446	68.51575	24.88484	195.85958	890.30659	1103.54770
4.58221	2275.90602	2281.67778	68.86524	25.04697	198.14268	896.46142	1093.16147
4.57011	2269.42069	2280.33666	69.21738	25.21075	200.46662	902.59957	1082.84233
