# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
6.07110	2847.57935	2825.87742	37.17170	13.24157	72.34552	418.51572	2284.60291
6.05900	2845.30023	2827.21869	37.31780	13.30171	72.81121	421.38619	2282.40178
6.04689	2843.07298	2828.33353	37.46475	13.36228	73.28170	424.28469	2279.94011
6.03479	2840.93328	2829.22241	37.61257	13.42327	73.75706	427.21154	2277.21798
6.02268	2838.91591	2829.88597	37.76126	13.48469	74.23736	430.16703	2274.23564
6.01058	2836.96674	2830.32504	37.91083	13.54655	74.72266	433.15149	2270.99352
5.99847	2835.03453	2830.54060	38.06128	13.60884	75.21304	436.16522	2267.49221
5.98637	2833.11570	2830.53383	38.21262	13.67158	75.70858	439.20855	2263.73249
5.97426	2831.20729	2830.30608	38.36486	13.73478	76.20934	442.28180	2259.71531
5.96216	2829.31372	2829.85889	38.51801	13.79842	76.71540	445.38528	2255.44178
5.95005	2827.42686	2829.19395	38.67208	13.86252	77.22684	448.51932	2250.91319
5.93795	2825.53403	2828.31313	38.82706	13.92708	77.74374	451.68425	2246.13100
5.92584	2823.61385	2827.21849	38.98297	13.99211	78.26618	454.88039	2241.09684
5.91374	2821.61800	2825.91225	39.13981	14.05762	78.79423	458.10808	2235.81251
5.90163	2819.55960	2824.39678	39.29760	14.12359	79.32799	461.36765	2230.27995
5.88953	2817.46072	2822.67464	39.45634	14.19005	79.86753	464.65943	2224.50129
5.87742	2815.30263	2820.74854	39.61604	14.25699	80.41294	467.98376	2218.47881
5.86532	2813.02724	2818.62136	39.77670	14.32443	80.96431	471.34097	2212.21495
5.85321	2810.65755	2816.29612	39.93833	14.39236	81.52173	474.73140	2205.71230
5.84111	2808.21767	2813.77602	40.10095	14.46078	82.08529	478.15540	2198.97359
5.82900	2805.66628	2811.06438	40.26455	14.52972	82.65509	481.61330	2192.00172
5.81690	2802.98589	2808.16467	40.42916	14.59916	83.23121	485.10545	2184.79970
5.80480	2800.19493	2805.08053	40.59476	14.66912	83.81375	488.63219	2177.37071
5.79269	2797.30051	2801.81571	40.76138	14.73960	84.40281	492.19387	2169.71805
5.78059	2794.26302	2798.37409	40.92902	14.81061	84.99850	495.79083	2161.84514
5.76848	2791.08611	2794.75970	41.09769	14.88215	85.60090	499.42341	2153.75555
5.75638	2787.78045	2790.97667	41.26740	14.95422	86.21014	503.09196	2145.45294
5.74427	2784.33489	2787.02925	41.43815	15.02684	86.82630	506.79684	2136.94112
5.73217	2780.73578	2782.92183	41.60996	15.10000	87.44951	510.53838	2128.22398
5.72006	2776.98979	2778.65886	41.78284	15.17372	88.07986	514.31692	2119.30552
5.70796	2773.10187	2774.24494	41.95678	15.24800	88.71748	518.13283	2110.18985
5.69585	2769.06580	2769.68474	42.13181	15.32284	89.36248	521.98643	2100.88118
5.68375	2764.87929	2764.98301	42.30793	15.39825	90.01497	525.87808	2091.38379
5.67164	2760.54142	2760.14462	42.48514	15.47424	90.67507	529.80811	2081.70205
5.65954	2756.05744	2755.17447	42.66347	15.55082	91.34290	533.77688	2071.84041
5.64743	2751.42703	2750.07759	42.84291	15.62798	92.01859	537.78471	2061.80340
5.63533	2746.64316	2744.85902	43.02348	15.70574	92.70226	541.83194	2051.59560
5.62322	2741.70630	2739.52390	43.20518	15.78409	93.39405	545.91892	2041.22165
5.61112	2736.63449	2734.07740	43.38803	15.86306	94.09408	550.04597	2030.68626
5.59901	2731.42406	2728.52477	43.57204	15.94264	94.80249	554.21341	2019.99419
5.58691	2726.07203	2722.87127	43.75721	16.02285	95.51941	558.42159	2009.15022
