# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
6.07110	2846.97454	2856.04627	37.42940	12.68796	89.94063	408.25880	2307.72949
6.05900	2852.50634	2860.15187	37.57677	12.74521	90.51054	410.99536	2308.32398
6.04689	2857.62339	2863.94848	37.72502	12.80286	91.08621	413.75777	2308.57662
6.03479	2862.31627	2867.43419	37.87414	12.86092	91.66771	416.54628	2308.48514
6.02268	2866.57588	2870.60736	38.02414	12.91938	92.25513	419.36117	2308.04754
6.01058	2870.41953	2873.46666	38.17502	12.97826	92.84856	422.20269	2307.26212
5.99847	2873.85351	2876.01104	38.32681	13.03755	93.44808	425.07114	2306.12747
5.98637	2876.86633	2878.23979	38.47949	13.09727	94.05376	427.96677	2304.64250
5.97426	2879.45021	2880.15247	38.63308	13.15740	94.66571	430.88987	2302.80640
5.96216	2881.65274	2881.74897	38.78759	13.21797	95.28400	433.84072	2300.61870
5.95005	2883.47617	2883.02950	38.94303	13.27896	95.90872	436.81958	2298.07921
5.93795	2884.90021	2883.99459	39.09939	13.34039	96.53998	439.82674	2295.18808
5.92584	2885.91843	2884.64506	39.25670	13.40226	97.17786	442.86248	2291.94576
5.91374	2886.58667	2884.98209	39.41495	13.46458	97.82246	445.92708	2288.35303
5.90163	2886.89312	2885.00714	39.57415	13.52735	98.47386	449.02083	2284.41096
5.88953	2886.81375	2884.72202	39.73431	13.59057	99.13218	452.14400	2280.12095
5.87742	2886.36084	2884.12882	39.89545	13.65424	99.79752	455.29688	2275.48473
5.86532	2885.58326	2883.22999	40.05755	13.71838	100.46996	458.47976	2270.50432
5.85321	2884.45888	2882.02824	40.22065	13.78299	101.14963	461.69293	2265.18205
5.84111	2882.96493	2880.52663	40.38473	13.84807	101.83661	464.93666	2259.52055
5.82900	2881.15090	2878.72849	40.54982	13.91363	102.53103	468.21124	2253.52277
5.81690	2879.03366	2876.63748	40.71592	13.97966	103.23299	471.51697	2247.19194
5.80480	2876.58839	2874.25752	40.88303	14.04619	103.94260	474.85413	2240.53157
5.79269	2873.80851	2871.59283	41.05117	14.11320	104.65997	478.22300	2233.54549
5.78059	2870.75643	2868.64791	41.22034	14.18071	105.38523	481.62387	2226.23775
5.76848	2867.41609	2865.42752	41.39055	14.24872	106.11849	485.05703	2218.61273
5.75638	2863.75958	2861.93671	41.56181	14.31724	106.85987	488.52277	2210.67503
5.74427	2859.82111	2858.18075	41.73413	14.38627	107.60948	492.02136	2202.42952
5.73217	2855.63542	2854.16518	41.90752	14.45581	108.36747	495.55309	2193.88129
5.72006	2851.17612	2849.89576	42.08199	14.52588	109.13395	499.11824	2185.03571
5.70796	2846.43303	2845.37848	42.25754	14.59647	109.90905	502.71710	2175.89832
5.69585	2841.47329	2840.61955	42.43418	14.66760	110.69291	506.34994	2166.47492
5.68375	2836.28364	2835.62537	42.61193	14.73926	111.48566	510.01704	2156.77149
5.67164	2830.83573	2830.40256	42.79079	14.81147	112.28744	513.71867	2146.79420
5.65954	2825.17201	2824.95790	42.97077	14.88422	113.09838	517.45512	2136.54941
