# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
4.66695	2171.69198	2177.93889	68.39353	25.03755	440.88548	760.70060	882.92172
4.65484	2172.32990	2177.12514	68.74427	25.19728	445.93040	766.02441	871.22879
4.64274	2179.85134	2176.51338	69.09769	25.35860	451.06088	771.30716	859.68906
4.63063	2192.65773	2176.10001	69.45383	25.52154	456.27871	776.54476	848.30117
4.61853	2195.17836	2175.88133	69.81272	25.68611	461.58569	781.73304	837.06377
4.60642	2193.08648	2175.85356	70.17438	25.85235	466.98366	786.86773	825.97544
4.59432	2192.89987	2176.01284	70.53884	26.02027	472.47450	791.94446	815.03476
4.58221	2194.45029	2176.35522	70.90614	26.18990	478.06013	796.95876	804.24028
4.57011	2195.73840	2176.87667	71.27629	26.36126	483.74252	801.90608	793.59052
4.55800	2195.75474	2177.57312	71.64934	26.53438	489.52366	806.78176	783.08398
4.54590	2195.45823	2178.44043	72.02531	26.70927	495.40559	811.58110	772.71916
4.53380	2198.03613	2179.47440	72.40422	26.88597	501.39038	816.29929	762.49452
4.52169	2203.19620	2180.67081	72.78612	27.06450	507.48017	820.93148	752.40854
4.50959	2202.96272	2182.02541	73.17104	27.24489	513.67710	825.47274	742.45965
4.49748	2195.92338	2183.53392	73.55899	27.42716	519.98337	829.91810	732.64629
4.48538	2195.78947	2185.19204	73.95003	27.61134	526.40123	834.26253	722.96692
4.47327	2207.02666	2186.99549	74.34417	27.79745	532.93296	838.50097	713.41994
4.46117	2210.58100	2188.93999	74.74145	27.98553	539.58087	842.62835	704.00379
4.44906	2197.10650	2191.02127	75.14191	28.17561	546.34732	846.63954	694.71689
4.43696	2192.07223	2193.23511	75.54557	28.36770	553.23472	850.52944	685.55767
4.42485	2204.29340	2195.57730	75.95248	28.56185	560.24550	854.29294	676.52453
4.41275	2211.08047	2198.04373	76.36267	28.75808	567.38214	857.92493	667.61592
4.40064	2209.57747	2200.63031	76.77617	28.95642	574.64714	861.42034	658.83025
