# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
6.07110	2940.22419	2931.45479	36.77595	11.32778	109.54191	381.54943	2392.25971
6.05900	2940.38042	2932.75919	36.92006	11.37930	110.23443	384.35235	2389.87305
6.04689	2940.33885	2933.80682	37.06502	11.43118	110.93392	387.18417	2387.19255
6.03479	2940.09388	2934.59828	37.21082	11.48342	111.64048	390.04521	2384.21835
6.02268	2939.64008	2935.13439	37.35748	11.53604	112.35421	392.93580	2380.95086
6.01058	2938.98668	2935.41616	37.50501	11.58903	113.07521	395.85626	2377.39065
5.99847	2938.13883	2935.44485	37.65340	11.64240	113.80359	398.80694	2373.53852
5.98637	2937.09247	2935.22190	37.80267	11.69615	114.53944	401.78815	2369.39549
5.97426	2935.84523	2934.74899	37.95282	11.75028	115.28287	404.80023	2364.96278
5.96216	2934.41910	2934.02800	38.10387	11.80481	116.03398	407.84352	2360.24182
5.95005	2932.81406	2933.06102	38.25581	11.85973	116.79289	410.91835	2355.23425
5.93795	2931.01970	2931.85035	38.40865	11.91504	117.55970	414.02507	2349.94190
5.92584	2929.03152	2930.39851	38.56240	11.97075	118.33453	417.16400	2344.36682
5.91374	2926.87251	2928.70820	38.71708	12.02687	119.11749	420.33550	2338.51127
5.90163	2924.53845	2926.78235	38.87268	12.08340	119.90870	423.53990	2332.37768
5.88953	2922.02006	2924.62405	39.02921	12.14034	120.70827	426.77754	2325.96869
5.87742	2919.32269	2922.23662	39.18668	12.19770	121.51634	430.04878	2319.28713
5.86532	2916.46653	2919.62354	39.34510	12.25547	122.33301	433.35394	2312.33601
5.85321	2913.44303	2916.78850	39.50448	12.31368	123.15842	436.69339	2305.11854
5.84111	2910.24335	2913.73535	39.66482	12.37231	123.99269	440.06746	2297.63809
5.82900	2906.88516	2910.46814	39.82613	12.43138	124.83595	443.47649	2289.89820
5.81690	2903.37518	2906.99105	39.98841	12.49088	125.68833	446.92084	2281.90259
5.80480	2899.70520	2903.30847	40.15169	12.55083	126.54998	450.40084	2273.65514
5.79269	2895.87271	2899.42491	40.31596	12.61122	127.42102	453.91683	2265.15989
5.78059	2891.89654	2895.34506	40.48123	12.67207	128.30159	457.46917	2256.42101
5.76848	2887.77035	2891.07374	40.64751	12.73337	129.19184	461.05818	2247.44284
5.75638	2883.48407	2886.61591	40.81481	12.79513	130.09191	464.68422	2238.22984
5.74427	2879.04767	2881.97668	40.98314	12.85736	131.00196	468.34761	2228.78662
5.73217	2874.47258	2877.16126	41.15251	12.92006	131.92212	472.04868	2219.11789
5.72006	2869.75112	2872.17499	41.32291	12.98323	132.85255	475.78779	2209.22850
5.70796	2864.88097	2867.02332	41.49437	13.04689	133.79341	479.56524	2199.12341
5.69585	2859.88467	2861.71182	41.66689	13.11103	134.74486	483.38138	2188.80767
5.68375	2854.75709	2856.24614	41.84049	13.17566	135.70705	487.23651	2178.28643
5.67164	2849.48804	2850.63202	42.01516	13.24078	136.68016	491.13096	2167.56495
5.65954	2844.09180	2844.87528	42.19091	13.30641	137.66436	495.06505	2156.64855
5.64743	2838.57630	2838.98182	42.36777	13.37254	138.65980	499.03907	2145.54264
5.63533	2832.92965	2832.95760	42.54572	13.43919	139.66667	503.05334	2134.25268
5.62322	2827.15036	2826.80866	42.72480	13.50635	140.68515	507.10815	2122.78421
5.61112	2821.26304	2820.54106	42.90499	13.57403	141.71541	511.20379	2111.14283
5.59901	2815.26449	2814.16092	43.08632	13.64224	142.75764	515.34055	2099.33416
5.58691	2809.15134	2807.67439	43.26880	13.71099	143.81204	519.51870	2087.36387
5.57480	2802.94503	2801.08767	43.45242	13.78027	144.87879	523.73850	2075.23768
5.56270	2796.63546	2794.40694	43.63721	13.85010	145.95808	528.00023	2062.96132
5.55060	2790.20118	2787.63843	43.82317	13.92048	147.05012	532.30412	2050.54054
5.53849	2783.65468	2780.78835	44.01031	13.99142	148.15512	536.65041	2037.98110
5.52639	2777.01918	2773.86293	44.19864	14.06292	149.27327	541.03933	2025.28878
5.51428	2770.29225	2766.86839	44.38817	14.13499	150.40479	545.47111	2012.46933
5.50218	2763.48480	2759.81091	44.57891	14.20763	151.54990	549.94594	1999.52852
5.49007	2756.61633	2752.69667	44.77088	14.28086	152.70882	554.46400	1986.47210
5.47797	2749.66946	2745.53181	44.96408	14.35467	153.88177	559.02549	1973.30580
5.46586	2742.63369	2738.32246	45.15852	14.42908	155.06899	563.63056	1960.03532
5.45376	2735.53199	2731.07467	45.35421	14.50408	156.27070	568.27935	1946.66633
5.44165	2728.35586	2723.79446	45.55117	14.57970	157.48714	572.97199	1933.20446
5.42955	2721.09733	2716.48780	45.74940	14.65593	158.71857	577.70859	1919.65531
5.41744	2713.79397	2709.16059	45.94892	14.73278	159.96522	582.48925	1906.02443
5.40534	2706.43955	2701.81868	46.14973	14.81026	161.22735	587.31403	1892.31731
5.39323	2699.01715	2694.46783	46.35186	14.88837	162.50522	592.18299	1878.53940
5.38113	2691.56371	2687.11373	46.55530	14.96713	163.79909	597.09614	1864.69606
5.36902	2684.08954	2679.76198	46.76007	15.04653	165.10924	602.05351	1850.79263
5.35692	2676.58664	2672.41811	46.96618	15.12660	166.43593	607.05506	1836.83434
5.34481	2669.06993	2665.08755	47.17365	15.20732	167.77946	612.10074	1822.82637
5.33271	2661.54267	2657.77563	47.38249	15.28872	169.14010	617.19050	1808.77382
5.32060	2653.99695	2650.48757	47.59270	15.37080	170.51816	622.32421	1794.68170
5.30850	2646.42937	2643.22850	47.80430	15.45356	171.91392	627.50176	1780.55497
5.29640	2638.85388	2636.00344	48.01730	15.53702	173.32769	632.72297	1766.39846
5.28429	2631.28799	2628.81729	48.23171	15.62119	174.75979	637.98765	1752.21695
5.27219	2623.73915	2621.67483	48.44756	15.70606	176.21053	643.29556	1738.01511
5.26008	2616.20773	2614.58072	48.66484	15.79166	177.68025	648.64645	1723.79754
5.24798	2608.69837	2607.53950	48.88357	15.87798	179.16926	654.03999	1709.56871
5.23587	2601.25983	2600.55558	49.10376	15.96503	180.67791	659.47585	1695.33302
5.22377	2593.85541	2593.63325	49.32544	16.05284	182.20656	664.95364	1681.09477
5.21166	2586.41084	2586.77663	49.54860	16.14139	183.75554	670.47293	1666.85817
5.19956	2578.88382	2579.98975	49.77327	16.23071	185.32522	676.03325	1652.62730
5.18745	2571.33670	2573.27648	49.99946	16.32080	186.91598	681.63406	1638.40618
5.17535	2563.85586	2566.64053	50.22717	16.41167	188.52818	687.27481	1624.19869
5.16324	2556.53788	2560.08550	50.45643	16.50333	190.16222	692.95488	1610.00864
5.15114	2549.35358	2553.61482	50.68725	16.59579	191.81849	698.67358	1595.83970
5.13903	2542.29692	2547.23177	50.91964	16.68906	193.49739	704.43020	1581.69549
5.12693	2535.50634	2540.93950	51.15362	16.78315	195.19933	710.22394	1567.57947
5.11482	2528.96420	2534.74100	51.38920	16.87806	196.92474	716.05397	1553.49503
5.10272	2522.64154	2528.63908	51.62639	16.97382	198.67404	721.91937	1539.44546
5.09061	2516.53974	2522.63643	51.86521	17.07042	200.44767	727.81919	1525.43394
5.07851	2510.65977	2516.73556	52.10568	17.16788	202.24609	733.75239	1511.46352
5.06640	2504.95237	2510.93884	52.34781	17.26621	204.06974	739.71788	1497.53720
5.05430	2499.38628	2505.24846	52.59161	17.36542	205.91911	745.71447	1483.65785
5.04220	2493.97406	2499.66646	52.83710	17.46552	207.79467	751.74094	1469.82822
5.03009	2488.67129	2494.19470	53.08430	17.56652	209.69691	757.79596	1456.05101
5.01799	2483.54668	2488.83492	53.33322	17.66844	211.62634	763.87815	1442.32878
5.00588	2478.65769	2483.58864	53.58388	17.77128	213.58346	769.98603	1428.66400
4.99378	2473.87413	2478.45726	53.83629	17.87505	215.56880	776.11806	1415.05906
4.98167	2469.17473	2473.44199	54.09047	17.97977	217.58290	782.27260	1401.51625
4.96957	2464.53406	2468.54387	54.34643	18.08545	219.62631	788.44793	1388.03774
4.95746	2459.92191	2463.76380	54.60420	18.19211	221.69959	794.64225	1374.62565
4.94536	2455.33630	2459.10248	54.86379	18.29974	223.80331	800.85367	1361.28198
4.93325	2450.82470	2454.56047	55.12521	18.40837	225.93807	807.08018	1348.00864
4.92115	2446.40007	2450.13814	55.38848	18.51801	228.10445	813.31973	1334.80747
4.90904	2442.12977	2445.83571	55.65363	18.62867	230.30308	819.57012	1321.68020
4.89694	2438.19227	2441.65321	55.92067	18.74037	232.53459	825.82909	1308.62850
4.88483	2434.59641	2437.59053	56.18961	18.85311	234.79962	832.09427	1295.65393
4.87273	2431.19100	2433.64738	56.46047	18.96691	237.09882	838.36318	1282.75800
4.86062	2427.88378	2429.82330	56.73328	19.08179	239.43288	844.63325	1269.94210
4.84852	2424.64870	2426.11766	57.00805	19.19775	241.80248	850.90180	1257.20758
4.83641	2421.45257	2422.52969	57.28480	19.31482	244.20832	857.16605	1244.55570
4.82431	2418.31296	2419.05842	57.56354	19.43301	246.65113	863.42310	1231.98763
4.81220	2415.26738	2415.70275	57.84431	19.55232	249.13165	869.66998	1219.50449
4.80010	2412.39126	2412.46139	58.12711	19.67279	251.65063	875.90356	1207.10731
4.78800	2409.76276	2409.33292	58.41196	19.79441	254.20885	882.12064	1194.79706
4.77589	2407.28199	2406.31574	58.69889	19.91721	256.80709	888.31790	1182.57464
4.76379	2404.68505	2403.40810	58.98792	20.04121	259.44618	894.49190	1170.44089
4.75168	2402.00924	2400.60811	59.27906	20.16641	262.12693	900.63912	1158.39658
4.73958	2399.32801	2397.91370	59.57234	20.29284	264.85020	906.75590	1146.44242
4.72747	2396.62471	2395.32268	59.86778	20.42051	267.61686	912.83848	1134.57905
4.71537	2393.91173	2392.83270	60.16540	20.54943	270.42780	918.88302	1122.80706
4.70326	2391.31465	2390.44127	60.46521	20.67963	273.28391	924.88553	1111.12699
4.69116	2389.08258	2388.14578	60.76724	20.81112	276.18615	930.84196	1099.53931
4.67905	2386.96450	2385.94347	61.07152	20.94392	279.13546	936.74813	1088.04444
4.66695	2384.82491	2383.83145	61.37806	21.07805	282.13282	942.59976	1076.64276
4.65484	2382.80435	2381.80671	61.68689	21.21352	285.17923	948.39249	1065.33458
4.64274	2380.98999	2379.86613	61.99803	21.35036	288.27570	954.12186	1054.12018
4.63063	2379.31098	2378.00647	62.31150	21.48858	291.42330	959.78331	1042.99979
4.61853	2377.72032	2376.22437	62.62733	21.62820	294.62308	965.37220	1031.97357
4.60642	2376.16668	2374.51640	62.94553	21.76924	297.87615	970.88380	1021.04167
4.59432	2374.56155	2372.87900	63.26613	21.91172	301.18363	976.31333	1010.20418
4.58221	2372.92298	2371.30856	63.58917	22.05566	304.54667	981.65591	999.46116
4.57011	2371.28500	2369.80137	63.91465	22.20109	307.96644	986.90659	988.81260
4.55800	2369.62458	2368.35365	64.24260	22.34802	311.44415	992.06038	978.25850
4.54590	2368.00811	2366.96157	64.57306	22.49647	314.98103	997.11222	967.79879
4.53380	2366.50417	2365.62123	64.90604	22.64646	318.57833	1002.05702	957.43337
4.52169	2365.01986	2364.32869	65.24157	22.79803	322.23736	1006.88963	947.16211
4.50959	2363.53017	2363.08000	65.57968	22.95118	325.95942	1011.60487	936.98485
