# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
6.07110	2992.49428	2999.25986	50.85361	7.57713	137.21782	330.43001	2473.18130
6.05900	2994.63354	3000.18014	51.05135	7.61167	138.10157	332.88747	2470.52807
6.04689	2996.32578	3000.74443	51.25023	7.64646	138.99437	335.37072	2467.48265
6.03479	2997.55453	3000.95368	51.45027	7.68149	139.89635	337.88005	2464.04551
6.02268	2998.30388	3000.80918	51.65147	7.71678	140.80764	340.41576	2460.21754
6.01058	2998.60414	3000.31261	51.85384	7.75231	141.72837	342.97814	2455.99995
5.99847	2998.46979	2999.46600	52.05739	7.78810	142.65867	345.56752	2451.39433
5.98637	2997.88531	2998.27176	52.26212	7.82414	143.59867	348.18418	2446.40265
5.97426	2996.84093	2996.73267	52.46806	7.86045	144.54852	350.82843	2441.02721
5.96216	2995.41061	2994.85186	52.67521	7.89701	145.50836	353.50060	2435.27068
5.95005	2993.59627	2992.63282	52.88357	7.93385	146.47832	356.20098	2429.13610
5.93795	2991.36493	2990.07939	53.09316	7.97094	147.45856	358.92990	2422.62683
5.92584	2988.70454	2987.19576	53.30398	8.00831	148.44922	361.68766	2415.74658
5.91374	2985.69937	2983.98644	53.51605	8.04595	149.45045	364.47459	2408.49940
5.90163	2982.33407	2980.45630	53.72938	8.08387	150.46240	367.29099	2400.88966
5.88953	2978.57498	2976.61052	53.94397	8.12206	151.48524	370.13720	2392.92205
5.87742	2974.44197	2972.45457	54.15984	8.16053	152.51911	373.01352	2384.60157
5.86532	2970.00856	2967.99427	54.37699	8.19929	153.56419	375.92029	2375.93352
5.85321	2965.24352	2963.23570	54.59543	8.23833	154.62063	378.85781	2366.92349
5.84111	2960.11455	2958.18523	54.81518	8.27767	155.68861	381.82642	2357.57735
5.82900	2954.69035	2952.84950	55.03625	8.31729	156.76830	384.82643	2347.90123
5.81690	2948.99580	2947.23541	55.25864	8.35721	157.85986	387.85817	2337.90152
5.80480	2942.99806	2941.35011	55.48237	8.39743	158.96348	390.92197	2327.58486
5.79269	2936.68805	2935.20099	55.70745	8.43795	160.07934	394.01814	2316.95811
5.78059	2930.14696	2928.79564	55.93389	8.47877	161.20762	397.14700	2306.02837
5.76848	2923.35386	2922.14188	56.16169	8.51990	162.34851	400.30888	2294.80290
5.75638	2916.27239	2915.24772	56.39088	8.56134	163.50219	403.50410	2283.28921
5.74427	2908.94589	2908.12132	56.62145	8.60310	164.66887	406.73298	2271.49493
5.73217	2901.42019	2900.77106	56.85343	8.64517	165.84874	409.99583	2259.42789
5.72006	2893.66346	2893.20541	57.08682	8.68756	167.04201	413.29297	2247.09605
5.70796	2885.66379	2885.43303	57.32163	8.73028	168.24887	416.62472	2234.50753
5.69585	2877.50434	2877.46267	57.55788	8.77332	169.46954	419.99139	2221.67053
5.68375	2869.16947	2869.30319	57.79558	8.81670	170.70424	423.39328	2208.59340
5.67164	2860.62500	2860.96356	58.03474	8.86040	171.95317	426.83070	2195.28455
5.65954	2851.92123	2852.45282	58.27537	8.90445	173.21657	430.30396	2181.75248
5.64743	2843.08942	2843.78007	58.51748	8.94884	174.49465	433.81335	2168.00575
5.63533	2834.09369	2834.95446	58.76109	8.99357	175.78765	437.35917	2154.05299
5.62322	2824.93080	2825.98519	59.00620	9.03865	177.09580	440.94170	2139.90285
5.61112	2815.67692	2816.88148	59.25284	9.08408	178.41935	444.56123	2125.56399
5.59901	2806.31778	2807.65254	59.50100	9.12987	179.75853	448.21803	2111.04510
5.58691	2796.83787	2798.30760	59.75071	9.17602	181.11359	451.91239	2096.35488
5.57480	2787.29916	2788.85586	60.00198	9.22253	182.48480	455.64456	2081.50199
5.56270	2777.68368	2779.30652	60.25482	9.26941	183.87240	459.41481	2066.49508
5.55060	2767.94185	2769.66869	60.50925	9.31666	185.27667	463.22337	2051.34275
5.53849	2758.11174	2759.95147	60.76526	9.36429	186.69786	467.07050	2036.05356
