# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
6.07110	2919.42785	2920.64442	46.79487	9.63498	137.38047	230.84906	2495.98504
6.05900	2923.29170	2924.03582	46.97862	9.67879	138.28400	232.64613	2496.44828
6.04689	2926.71336	2927.04383	47.16345	9.72291	139.19699	234.46377	2496.49672
6.03479	2929.68256	2929.66635	47.34936	9.76734	140.11957	236.30226	2496.12782
6.02268	2932.18937	2931.90165	47.53637	9.81208	141.05190	238.16188	2495.33942
6.01058	2934.25193	2933.74844	47.72448	9.85715	141.99409	240.04293	2494.12979
5.99847	2935.87777	2935.20581	47.91371	9.90253	142.94630	241.94569	2492.49758
5.98637	2937.05586	2936.27331	48.10405	9.94824	143.90867	243.87048	2490.44187
5.97426	2937.77898	2936.95088	48.29553	9.99428	144.88134	245.81758	2487.96215
5.96216	2938.09596	2937.23890	48.48814	10.04065	145.86448	247.78731	2485.05833
5.95005	2938.00793	2937.13820	48.68190	10.08735	146.85823	249.77997	2481.73075
5.93795	2937.49282	2936.65001	48.87681	10.13439	147.86274	251.79588	2477.98019
5.92584	2936.54295	2935.77601	49.07289	10.18177	148.87818	253.83536	2473.80781
5.91374	2935.21609	2934.51831	49.27015	10.22950	149.90470	255.89872	2469.21524
5.90163	2933.50013	2932.87945	49.46859	10.27757	150.94248	257.98629	2464.20451
5.88953	2931.37031	2930.86238	49.66822	10.32599	151.99168	260.09841	2458.77808
5.87742	2928.84054	2928.47051	49.86906	10.37477	153.05247	262.23540	2452.93881
5.86532	2925.96333	2925.70762	50.07111	10.42390	154.12502	264.39760	2446.68999
5.85321	2922.71507	2922.57794	50.27438	10.47340	155.20951	266.58535	2440.03531
5.84111	2919.07148	2919.08609	50.47888	10.52327	156.30612	268.79900	2432.97883
5.82900	2915.08512	2915.23709	50.68462	10.57350	157.41504	271.03889	2425.52504
5.81690	2910.77425	2911.03633	50.89162	10.62410	158.53645	273.30537	2417.67879
5.80480	2906.11296	2906.48961	51.09988	10.67508	159.67054	275.59881	2409.44530
5.79269	2901.09431	2901.60308	51.30941	10.72645	160.81751	277.91956	2400.83015
5.78059	2895.78294	2896.38324	51.52022	10.77819	161.97756	280.26798	2391.83928
5.76848	2890.16118	2890.83693	51.73233	10.83033	163.15088	282.64445	2382.47895
5.75638	2884.19891	2884.97135	51.94574	10.88285	164.33769	285.04932	2372.75575
5.74427	2877.93200	2878.79398	52.16046	10.93578	165.53819	287.48297	2362.67658
5.73217	2871.39760	2872.31263	52.37651	10.98910	166.75260	289.94578	2352.24864
5.72006	2864.56833	2865.53538	52.59390	11.04283	167.98113	292.43813	2341.47939
5.70796	2857.43412	2858.47059	52.81263	11.09697	169.22401	294.96041	2330.37658
5.69585	2850.06702	2851.12688	53.03272	11.15152	170.48146	297.51299	2318.94820
5.68375	2842.45251	2843.51311	53.25418	11.20648	171.75371	300.09626	2307.20247
5.67164	2834.55992	2835.63834	53.47701	11.26187	173.04101	302.71062	2295.14783
5.65954	2826.43477	2827.51188	53.70124	11.31769	174.34359	305.35646	2282.79290
5.64743	2818.10456	2819.14319	53.92688	11.37393	175.66169	308.03417	2270.14652
5.63533	2809.53584	2810.54193	54.15393	11.43061	176.99556	310.74416	2257.21767
5.62322	2800.72582	2801.71790	54.38240	11.48773	178.34547	313.48682	2244.01548
5.61112	2791.74564	2792.68105	54.61231	11.54530	179.71166	316.26256	2230.54921
5.59901	2782.58048	2783.44143	54.84368	11.60331	181.09441	319.07177	2216.82826
5.58691	2773.21465	2774.00923	55.07650	11.66178	182.49397	321.91487	2202.86210
5.57480	2763.70948	2764.39470	55.31080	11.72071	183.91064	324.79225	2188.66029
5.56270	2754.04950	2754.60816	55.54659	11.78010	185.34469	327.70433	2174.23244
5.55060	2744.18837	2744.66000	55.78388	11.83996	186.79641	330.65151	2159.58824
5.53849	2734.16130	2734.56065	56.02268	11.90030	188.26608	333.63419	2144.73739
5.52639	2724.02012	2724.32054	56.26301	11.96111	189.75402	336.65280	2129.68960
5.51428	2713.75079	2713.95012	56.50487	12.02241	191.26052	339.70772	2114.45460
5.50218	2703.37040	2703.45983	56.74829	12.08420	192.78589	342.79936	2099.04209
5.49007	2692.92475	2692.86010	56.99327	12.14648	194.33045	345.92814	2083.46176
5.47797	2682.38111	2682.16130	57.23982	12.20926	195.89453	349.09445	2067.72323
5.46586	2671.72152	2671.37376	57.48797	12.27255	197.47846	352.29868	2051.83609
5.45376	2660.99881	2660.50775	57.73773	12.33635	199.08257	355.54125	2035.80986
5.44165	2650.19614	2649.57345	57.98910	12.40067	200.70721	358.82253	2019.65395
5.42955	2639.29468	2638.58098	58.24210	12.46551	202.35272	362.14293	2003.37772
5.41744	2628.35617	2627.54031	58.49675	12.53088	204.01948	365.50282	1986.99039
5.40534	2617.38563	2616.46135	58.75307	12.59678	205.70784	368.90258	1970.50108
5.39323	2606.36880	2605.35386	59.01105	12.66323	207.41819	372.34260	1953.91880
5.38113	2595.32405	2594.22747	59.27073	12.73022	209.15089	375.82323	1937.25240
5.36902	2584.27720	2583.09167	59.53211	12.79776	210.90635	379.34484	1920.51061
5.35692	2573.24758	2571.95581	59.79521	12.86586	212.68496	382.90778	1903.70199
5.34481	2562.23287	2560.82906	60.06004	12.93453	214.48712	386.51240	1886.83496
5.33271	2551.22523	2549.72046	60.32663	13.00378	216.31327	390.15903	1869.91777
5.32060	2540.22299	2538.63885	60.59497	13.07359	218.16381	393.84799	1852.95848
5.30850	2529.24248	2527.59289	60.86510	13.14400	220.03918	397.57960	1835.96501
5.29640	2518.28334	2516.59107	61.13702	13.21500	221.93983	401.35415	1818.94507
5.28429	2507.33371	2505.64168	61.41076	13.28659	223.86621	405.17194	1801.90618
5.27219	2496.43500	2494.75283	61.68632	13.35879	225.81878	409.03323	1784.85570
5.26008	2485.62083	2483.93240	61.96373	13.43161	227.79802	412.93828	1767.80077
5.24798	2474.90355	2473.18811	62.24299	13.50504	229.80440	416.88733	1750.74834
5.23587	2464.33213	2462.52744	62.52413	13.57910	231.83843	420.88061	1733.70517
5.22377	2453.88174	2451.95768	62.80717	13.65380	233.90060	424.91830	1716.67781
5.21166	2443.49705	2441.48588	63.09212	13.72913	235.99143	429.00060	1699.67260
5.19956	2433.15621	2431.11892	63.37899	13.80512	238.11145	433.12766	1682.69570
5.18745	2422.87959	2420.86343	63.66781	13.88176	240.26120	437.29961	1665.75306
5.17535	2412.69012	2410.72584	63.95858	13.95907	242.44122	441.51656	1648.85040
5.16324	2402.59482	2400.71235	64.25134	14.03706	244.65209	445.77860	1631.99326
5.15114	2392.56812	2390.82895	64.54610	14.11572	246.89437	450.08577	1615.18699
