# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
6.07110	2918.56508	2919.03664	43.53197	11.66114	80.68415	380.70255	2402.45682
6.05900	2920.76323	2921.40129	43.70245	11.71431	81.19857	383.30260	2401.48336
6.04689	2922.72770	2923.49089	43.87392	11.76787	81.71823	385.92821	2400.20266
6.03479	2924.46370	2925.30493	44.04640	11.82180	82.24319	388.57968	2398.61385
6.02268	2925.97625	2926.84313	44.21989	11.87612	82.77354	391.25731	2396.71627
6.01058	2927.25364	2928.10545	44.39440	11.93082	83.30936	393.96138	2394.50949
5.99847	2928.28815	2929.09207	44.56993	11.98591	83.85071	396.69221	2391.99332
5.98637	2929.08225	2929.80343	44.74650	12.04140	84.39767	399.45008	2389.16778
5.97426	2929.63695	2930.24019	44.92412	12.09729	84.95033	402.23530	2386.03314
5.96216	2929.93145	2930.40324	45.10278	12.15358	85.50877	405.04818	2382.58992
5.95005	2929.96258	2930.29372	45.28251	12.21028	86.07307	407.88903	2378.83883
5.93795	2929.73603	2929.91302	45.46331	12.26739	86.64331	410.75815	2374.78086
5.92584	2929.25505	2929.26274	45.64518	12.32492	87.21958	413.65586	2370.41721
5.91374	2928.50918	2928.34474	45.82813	12.38286	87.80197	416.58248	2365.74930
5.90163	2927.49585	2927.16110	46.01219	12.44123	88.39056	419.53833	2360.77880
5.88953	2926.21437	2925.71414	46.19734	12.50002	88.98545	422.52372	2355.50761
5.87742	2924.66765	2924.00641	46.38360	12.55925	89.58673	425.53898	2349.93785
5.86532	2922.85954	2922.04067	46.57099	12.61891	90.19449	428.58444	2344.07185
5.85321	2920.78462	2919.81994	46.75950	12.67901	90.80883	431.66042	2337.91218
5.84111	2918.43769	2917.34742	46.94916	12.73956	91.42984	434.76725	2331.46163
5.82900	2915.83527	2914.62656	47.13996	12.80055	92.05762	437.90526	2324.72317
5.81690	2912.98112	2911.66100	47.33191	12.86200	92.69228	441.07480	2317.70001
5.80480	2909.86553	2908.45460	47.52504	12.92391	93.33391	444.27618	2310.39556
5.79269	2906.48710	2905.01141	47.71933	12.98628	93.98263	447.50976	2302.81340
5.78059	2902.87395	2901.33569	47.91482	13.04912	94.63854	450.77587	2294.95734
5.76848	2899.01556	2897.43187	48.11149	13.11243	95.30174	454.07485	2286.83136
5.75638	2894.89585	2893.30459	48.30937	13.17622	95.97235	457.40704	2278.43960
5.74427	2890.53615	2888.95864	48.50847	13.24050	96.65048	460.77279	2269.78642
5.73217	2885.95670	2884.39902	48.70878	13.30526	97.33625	464.17243	2260.87630
