# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
1.99869	981.37270	968.03434	390.61737	166.79994	244.28167	108.79661	57.53874
1.98580	979.85083	966.38681	394.64079	169.92017	238.35249	106.82685	56.64650
1.97280	978.46924	964.96183	398.75310	173.05204	232.52617	104.87283	55.75769
1.95970	977.00864	963.74983	402.95969	176.18699	226.79799	102.93337	54.87178
1.94647	975.23161	962.74037	407.26636	179.31499	221.16343	101.00732	53.98827
1.93312	973.31256	961.92200	411.67926	182.42435	215.61820	99.09355	53.10665
1.91962	971.61410	961.28210	416.20493	185.50147	210.15828	97.19100	52.22643
1.90598	970.43433	960.80668	420.85026	188.53064	204.77993	95.29868	51.34717
1.89217	969.10391	960.48021	425.62248	191.49385	199.47978	93.41568	50.46841
1.87819	967.24074	960.28544	430.52915	194.37051	194.25483	91.54117	49.58978
1.86403	965.41941	960.20329	435.57807	197.13734	189.10247	89.67447	48.71093
1.84968	963.72192	960.21266	440.77727	199.76822	184.02056	87.81503	47.83158
1.83512	962.17112	960.29047	446.13494	202.23414	179.00742	85.96244	46.95152
1.82036	960.72391	960.41160	451.65934	204.50327	174.06190	84.11649	46.07061
1.80538	958.97269	960.54915	457.35872	206.54114	169.18334	82.27714	45.18881
1.79018	957.43160	960.67466	463.24122	208.31105	164.37165	80.44456	44.30618
1.77476	956.82720	960.75864	469.31471	209.77462	159.62727	78.61916	43.42289
1.75910	956.20582	960.77126	475.58670	210.89260	154.95119	76.80156	42.53921
1.74322	954.47708	960.68325	482.06414	211.62594	150.34497	74.99264	41.65556
1.72712	952.92113	960.46699	488.75327	211.93709	145.81066	73.19350	40.77246
1.71080	952.12263	960.09785	495.65942	211.79148	141.35083	71.40553	39.89059
1.69427	952.19523	959.55558	502.78677	211.15923	136.96851	69.63032	39.01075
1.67753	951.40341	958.82576	510.13817	210.01685	132.66715	67.86972	38.13387
1.66062	950.23391	957.90122	517.71487	208.34896	128.45055	66.12582	37.26103
1.64353	949.10699	956.78314	525.51626	206.14973	124.32284	64.40089	36.39342
1.62631	947.46014	955.48196	533.53965	203.42416	120.28837	62.69741	35.53237
1.60896	946.84628	954.01763	541.77995	200.18868	116.35167	61.01803	34.67930
1.59153	946.33820	952.41947	550.22947	196.47138	112.51735	59.36553	33.83575
1.57404	945.31401	950.72524	558.87762	192.31146	108.79004	57.74279	33.00333
1.55654	945.01517	948.97973	567.71073	187.75817	105.17431	56.15279	32.18373
1.53906	946.10260	947.23273	576.71179	182.86913	101.67461	54.59852	31.37867
1.52164	945.03083	945.53665	585.86035	177.70820	98.29517	53.08300	30.58994
1.50434	944.32296	943.94393	595.13236	172.34315	95.03994	51.60917	29.81930
1.48721	945.68586	942.50438	604.50018	166.84317	91.91257	50.17994	29.06852
1.47030	945.61889	941.26277	613.93251	161.27653	88.91629	48.79809	28.33934
1.45365	943.53004	940.25672	623.39461	155.70844	86.05395	47.46626	27.63345
1.43734	943.92223	939.51506	632.84843	150.19938	83.32789	46.18690	26.95246
1.42140	945.61646	939.05682	642.25296	144.80370	80.73999	44.96228	26.29788
1.40591	946.92325	938.89063	651.56462	139.56885	78.29162	43.79440	25.67113
1.39092	947.04277	939.01487	660.73782	134.53490	75.98361	42.68505	25.07349
1.37647	946.86993	939.41815	669.72558	129.73451	73.81629	41.63569	24.50608
1.36262	947.89300	940.08029	678.48026	125.19319	71.78942	40.64754	23.96988
1.34943	948.86645	940.97364	686.95442	120.92976	69.90228	39.72148	23.46570
1.33693	947.94136	942.06452	695.10166	116.95702	68.15359	38.85809	22.99416
1.32516	947.86640	943.31492	702.87763	113.28237	66.54160	38.05762	22.55570
1.31416	949.28313	944.68416	710.24097	109.90862	65.06404	37.31998	22.15055
1.30395	951.37315	946.13056	717.15426	106.83465	63.71814	36.64477	21.77875
1.29456	952.33643	947.61304	723.58498	104.05605	62.50066	36.03123	21.44013
1.28601	952.03080	949.09252	729.50637	101.56570	61.40787	35.47828	21.13430
