# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
6.07110	2947.15519	2952.54190	44.07130	8.41322	137.21291	354.20559	2408.63887
6.05900	2950.55720	2955.01207	44.24461	8.45146	138.11493	356.71624	2407.48483
6.04689	2953.49173	2957.08543	44.41894	8.48997	139.02640	359.25188	2405.89824
6.03479	2955.94585	2958.76147	44.59429	8.52875	139.94744	361.81279	2403.87820
6.02268	2957.90704	2960.04016	44.77068	8.56780	140.87820	364.39923	2401.42425
6.01058	2959.39875	2960.92192	44.94811	8.60714	141.81881	367.01148	2398.53639
5.99847	2960.43116	2961.40765	45.12659	8.64675	142.76941	369.64981	2395.21509
5.98637	2960.99082	2961.49869	45.30613	8.68665	143.73016	372.31450	2391.46126
5.97426	2961.06905	2961.19688	45.48674	8.72683	144.70119	375.00583	2387.27629
5.96216	2960.72696	2960.50449	45.66842	8.76730	145.68266	377.72407	2382.66204
5.95005	2959.96586	2959.42427	45.85118	8.80806	146.67472	380.46952	2377.62079
5.93795	2958.75805	2957.95944	46.03504	8.84912	147.67753	383.24244	2372.15531
5.92584	2957.09390	2956.11365	46.22001	8.89048	148.69124	386.04314	2366.26880
5.91374	2955.04595	2953.89101	46.40608	8.93213	149.71601	388.87188	2359.96491
5.90163	2952.59967	2951.29605	46.59327	8.97409	150.75201	391.72895	2353.24773
5.88953	2949.72469	2948.33376	46.78159	9.01635	151.79941	394.61465	2346.12176
5.87742	2946.43891	2945.00954	46.97104	9.05893	152.85838	397.52925	2338.59194
5.86532	2942.80820	2941.32918	47.16164	9.10181	153.92909	400.47305	2330.66359
5.85321	2938.80342	2937.29890	47.35340	9.14502	155.01171	403.44633	2322.34244
5.84111	2934.39456	2932.92529	47.54632	9.18854	156.10643	406.44938	2313.63462
5.82900	2929.64683	2928.21531	47.74042	9.23238	157.21343	409.48249	2304.54659
5.81690	2924.58304	2923.17628	47.93570	9.27655	158.33290	412.54594	2295.08519
5.80480	2919.17133	2917.81586	48.13217	9.32105	159.46502	415.64003	2285.25759
5.79269	2913.40318	2912.14206	48.32985	9.36588	160.61000	418.76504	2275.07130
5.78059	2907.35858	2906.16316	48.52873	9.41104	161.76803	421.92125	2264.53411
5.76848	2901.01635	2899.88777	48.72884	9.45655	162.93930	425.10895	2253.65412
5.75638	2894.34003	2893.32474	48.93019	9.50239	164.12404	428.32843	2242.43969
5.74427	2887.37391	2886.48322	49.13277	9.54858	165.32244	431.57997	2230.89946
5.73217	2880.16381	2879.37256	49.33661	9.59513	166.53471	434.86385	2219.04226
5.72006	2872.67651	2872.00235	49.54171	9.64202	167.76109	438.18035	2206.87718
5.70796	2864.89969	2864.38237	49.74809	9.68927	169.00178	441.52974	2194.41349
5.69585	2856.92043	2856.52260	49.95575	9.73688	170.25702	444.91231	2181.66064
5.68375	2848.72175	2848.43315	50.16470	9.78486	171.52703	448.32832	2168.62824
5.67164	2840.26719	2840.12430	50.37496	9.83320	172.81205	451.77804	2155.32605
5.65954	2831.61125	2831.60645	50.58653	9.88192	174.11232	455.26174	2141.76394
5.64743	2822.78736	2822.89009	50.79943	9.93101	175.42808	458.77968	2127.95189
5.63533	2813.75642	2813.98582	51.01367	9.98049	176.75959	462.33211	2113.89996
5.62322	2804.51537	2804.90428	51.22926	10.03034	178.10709	465.91930	2099.61829
5.61112	2795.14800	2795.65617	51.44621	10.08059	179.47085	469.54149	2085.11704
5.59901	2785.63678	2786.25223	51.66453	10.13122	180.85112	473.19892	2070.40643
5.58691	2775.96302	2776.70320	51.88423	10.18225	182.24819	476.89184	2055.49668
5.57480	2766.19785	2767.01982	52.10533	10.23369	183.66232	480.62047	2040.39801
5.56270	2756.32402	2757.21280	52.32784	10.28553	185.09380	484.38503	2025.12060
5.55060	2746.28852	2747.29283	52.55176	10.33777	186.54291	488.18575	2009.67463
5.53849	2736.13402	2737.27053	52.77712	10.39043	188.00995	492.02284	1994.07020
5.52639	2725.92250	2727.15647	53.00392	10.44351	189.49520	495.89649	1978.31734
5.51428	2715.63849	2716.96111	53.23217	10.49702	190.99898	499.80691	1962.42603
5.50218	2705.29742	2706.69483	53.46189	10.55095	192.52160	503.75427	1946.40613
5.49007	2694.94298	2696.36792	53.69309	10.60531	194.06338	507.73875	1930.26739
5.47797	2684.54083	2685.99050	53.92578	10.66011	195.62462	511.76052	1914.01947
5.46586	2674.07031	2675.57260	54.15998	10.71535	197.20568	515.81972	1897.67188
5.45376	2663.58930	2665.12408	54.39569	10.77103	198.80688	519.91649	1881.23398
5.44165	2653.10737	2654.65465	54.63294	10.82717	200.42857	524.05097	1864.71500
5.42955	2642.62461	2644.17386	54.87173	10.88377	202.07109	528.22327	1848.12400
5.41744	2632.14031	2633.69107	55.11208	10.94082	203.73481	532.43349	1831.46987
5.40534	2621.65571	2623.21548	55.35400	10.99835	205.42010	536.68171	1814.76132
5.39323	2611.17613	2612.75608	55.59751	11.05634	207.12732	540.96801	1798.00690
5.38113	2600.76149	2602.32167	55.84261	11.11481	208.85686	545.29244	1781.21494
5.36902	2590.41329	2591.92084	56.08933	11.17377	210.60911	549.65503	1764.39360
5.35692	2580.10862	2581.56197	56.33767	11.23321	212.38447	554.05581	1747.55081
5.34481	2569.89200	2571.25323	56.58766	11.29315	214.18333	558.49476	1730.69433
5.33271	2559.76500	2561.00257	56.83930	11.35359	216.00613	562.97188	1713.83168
5.32060	2549.69548	2550.81770	57.09261	11.41453	217.85327	567.48711	1696.97019
5.30850	2539.71246	2540.70612	57.34760	11.47598	219.72520	572.04039	1680.11695
5.29640	2529.81289	2530.67510	57.60429	11.53795	221.62236	576.63163	1663.27887
5.28429	2519.95910	2520.73167	57.86270	11.60044	223.54520	581.26071	1646.46261
5.27219	2510.17775	2510.88261	58.12284	11.66347	225.49418	585.92751	1629.67462
