# eV	sigma	Fitting	Drude0	Lorentz1	Lorentz2	Lorentz3	Lorentz4
6.07110	3023.72618	3027.88378	41.56260	12.49684	107.05049	364.02860	2502.74524
6.05900	3027.06247	3030.48789	41.72599	12.55334	107.73394	366.64942	2501.82520
6.04689	3029.98058	3032.72993	41.89033	12.61024	108.42435	369.29713	2500.50789
6.03479	3032.47072	3034.60916	42.05564	12.66753	109.12180	371.97205	2498.79214
6.02268	3034.52338	3036.12522	42.22192	12.72523	109.82640	374.67450	2496.67717
6.01058	3036.15595	3037.27811	42.38918	12.78334	110.53824	377.40478	2494.16257
5.99847	3037.37564	3038.06824	42.55744	12.84186	111.25744	380.16322	2491.24829
5.98637	3038.17192	3038.49638	42.72669	12.90079	111.98409	382.95013	2487.93467
5.97426	3038.53793	3038.56366	42.89695	12.96014	112.71829	385.76585	2484.22243
5.96216	3038.52057	3038.27163	43.06822	13.01992	113.46016	388.61070	2480.11263
5.95005	3038.12066	3037.62220	43.24052	13.08012	114.20981	391.48501	2475.60676
5.93795	3037.31669	3036.61766	43.41384	13.14075	114.96734	394.38910	2470.70663
5.92584	3036.10122	3035.26067	43.58820	13.20182	115.73287	397.32332	2465.41447
5.91374	3034.53073	3033.55428	43.76361	13.26333	116.50651	400.28799	2459.73284
5.90163	3032.59336	3031.50189	43.94007	13.32529	117.28839	403.28346	2453.66469
5.88953	3030.26481	3029.10727	44.11759	13.38769	118.07861	406.31006	2447.21331
5.87742	3027.55927	3026.37455	44.29619	13.45055	118.87731	409.36814	2440.38236
5.86532	3024.52892	3023.30822	44.47587	13.51386	119.68460	412.45804	2433.17584
5.85321	3021.15025	3019.91309	44.65663	13.57764	120.50062	415.58011	2425.59809
5.84111	3017.39906	3016.19432	44.83849	13.64188	121.32548	418.73469	2417.65378
5.82900	3013.32814	3012.15740	45.02146	13.70659	122.15933	421.92212	2409.34789
5.81690	3008.95579	3007.80813	45.20554	13.77178	123.00229	425.14277	2400.68574
5.80480	3004.25596	3003.15260	45.39075	13.83746	123.85450	428.39697	2391.67293
5.79269	2999.22178	2998.19724	45.57709	13.90361	124.71609	431.68509	2382.31535
5.78059	2993.91861	2992.94871	45.76457	13.97026	125.58722	435.00746	2372.61919
5.76848	2988.32862	2987.41397	45.95321	14.03741	126.46801	438.36445	2362.59089
5.75638	2982.42145	2981.60024	46.14300	14.10505	127.35862	441.75640	2352.23716
5.74427	2976.23375	2975.51498	46.33397	14.17321	128.25920	445.18368	2341.56492
5.73217	2969.80334	2969.16587	46.52612	14.24187	129.16989	448.64663	2330.58136
5.72006	2963.10240	2962.56083	46.71945	14.31105	130.09086	452.14560	2319.29387
5.70796	2956.12073	2955.70797	46.91399	14.38075	131.02225	455.68095	2307.71003
5.69585	2948.93175	2948.61559	47.10974	14.45098	131.96424	459.25303	2295.83761
5.68375	2941.52078	2941.29218	47.30670	14.52174	132.91697	462.86218	2283.68458
5.67164	2933.85667	2933.74636	47.50490	14.59304	133.88063	466.50877	2271.25903
5.65954	2925.98599	2925.98692	47.70433	14.66488	134.85537	470.19313	2258.56921
5.64743	2917.93695	2918.02278	47.90501	14.73727	135.84138	473.91561	2245.62351
5.63533	2909.67568	2909.86297	48.10696	14.81022	136.83882	477.67655	2232.43042
5.62322	2901.19951	2901.51661	48.31018	14.88373	137.84788	481.47630	2218.99853
5.61112	2892.58096	2892.99293	48.51467	14.95780	138.86874	485.31519	2205.33652
